Sno,State,Population,Rural Population,Urban Population
1,Uttar Pradesh,199281477,155111022,44470455
2,Maharashtra,112372972,61545441,50827531
3,Bihar,103804637,92075028,11729609
4,West Bengal,91347736,62213676,29134060
5,Madhya Pradesh,72597565,52537899,20059666
6,Tamil Nadu,72138958,37189229,34949729
7,Rajasthan,68621012,51540236,17080776
8,Karnataka,61130704,37552529,23578175
9,Gujarat,60383628,34670817,25712811
10,Andhra Pradesh,49386799,42509881,42155652
11,Odisha,41947358,34951234,6996124
12,Telangana,35286757,21585313,13608665
13,Kerala,33387677,17445506,15932171
14,Jharkhand,32966238,25036946,7929292
15,Assam,31169272,26780526,4388756
16,Punjab,27704236,17316800,10387436
17,Chhattisgarh,25540196,19603658,5936538
18,Haryana,25353081,16531493,8821588
19,Jammu and Kashmir,12548926,9134820,3414106
20,Uttarakhand,10116752,7025583,3091169
21,Himachal Pradesh,6864602,6167805,688704
22,Tripura,3671032,2710051,960981
23,Meghalaya,2964007,2368971,595036
24,ManipurÎ²,2721756,1899624,822132
25,Nagaland,1980602,1406861,573741
26,Goa,1457723,551414,906309
27,Arunachal Pradesh,1382611,1069165,313446
28,Mizoram,1091014,529037,561997
29,Sikkim,607688,455962,151726
